"District","NUTS_Region","CityDeathPerc","June2015_votes","Nov2015_votes","VotePercDiff"
"Adana","Akdeniz",0.0136054421768707,368055,462362,0.256230726386002
"Adiyaman","Guneydogu Anadolu",0.0090702947845805,178387,222189,0.245544798668064
"Afyonkarahisar","Ege",0,222467,273797,0.230730849968759
"Agri","Kuzeydogu Anadolu",0.0272108843537415,37622,57780,0.535803519217479
"Aksaray","Orta Anadolu",0,119896,151423,0.262952892506839
"Amasya","Dogu Karadeniz",0,95918,109491,0.141506286619821
"Ankara1","Bati Anadolu",0,653128,808762,0.238290197327323
"Ankara2","Bati Anadolu",0,667389,810210,0.213999631399379
"Antalya","Akdeniz",0,456645,560344,0.227088876479541
"Ardahan","Kuzeydogu Anadolu",0,14759,19916,0.349413916932041
"Artvin","Dogu Karadeniz",0,41982,48128,0.146396074508123
"Aydin","Ege",0,192688,226022,0.172994685709541
"Balikesir","Bati Marmara",0,305602,361821,0.18396149239861
"Bartin","Bati Karadeniz",0,49600,63965,0.289616935483871
"Batman","Guneydogu Anadolu",0.00680272108843537,47921,73775,0.539512948394232
"Bayburt","Kuzeydogu Anadolu",0,27219,32730,0.202468863661413
"Bilecik","Dogu Marmara",0,49172,61338,0.247417229317498
"Bingol","Ortadogu Anadolu",0.0226757369614512,61293,83492,0.36217838904932
"Bitlis","Ortadogu Anadolu",0.00453514739229025,47788,65370,0.367916631790408
"Bolu","Dogu Marmara",0,95752,117527,0.227410393516585
"Burdur","Akdeniz",0,71464,84716,0.185436023732229
"Bursa","Dogu Marmara",0,767541,975760,0.271280622142661
"Canakkale","Bati Marmara",0,116367,135609,0.165356157673567
"Cankiri","Bati Karadeniz",0,64313,75808,0.178735247928102
"Corum","Bati Karadeniz",0,180281,207137,0.148967445266001
"Denizli","Ege",0,247998,289081,0.16565859402092
"Diyarbakir","Guneydogu Anadolu",0.19047619047619,112752,169174,0.500407975024833
"Duzce","Dogu Marmara",0,130782,159916,0.222767659157988
"Edirne","Bati Marmara",0,63381,70648,0.114655811678579
"Elazig","Ortadogu Anadolu",0,169043,219485,0.298397449169738
"Erzincan","Kuzeydogu Anadolu",0,63931,74940,0.172201279504466
"Erzurum","Kuzeydogu Anadolu",0.0090702947845805,209875,275427,0.312338296605122
"Eskisehir","Dogu Marmara",0,190338,232668,0.222393846735807
"Gaziantep","Guneydogu Anadolu",0.00226757369614512,428451,581085,0.356246105155549
"Giresun","Dogu Karadeniz",0,139893,165268,0.181388632740738
"Gumushane","Dogu Karadeniz",0,41682,50445,0.210234633654815
"Hakkari","Ortadogu Anadolu",0.281179138321995,12493,17216,0.378051708957016
"Hatay","Akdeniz",0,312887,367940,0.17595170141297
"igdir","Kuzeydogu Anadolu",0.0408163265306122,10293,28816,1.799572525017
"isparta","Akdeniz",0,114348,138723,0.213165075034106
"istanbul1","istanbul",0.00377928933333333,1232292,1556199,0.262849227293531
"istanbul2","istanbul",0.00377928933333333,1044226,1356649,0.299190979730442
"istanbul3","istanbul",0.00377928933333333,1117344,1468968,0.314696279749119
"izmir1","Ege",0,335329,406392,0.211920233561666
"izmir2","Ege",0,358953,432687,0.205414079280574
"Kahramanmaras","Akdeniz",0,352949,431802,0.223411881036637
"Karabuk","Bati Karadeniz",0,67540,86994,0.288036718981344
"Karaman","Bati Anadolu",0,80042,94321,0.178393843232303
"Kars","Kuzeydogu Anadolu",0.0226757369614512,38950,50267,0.290551989730424
"Kastamonu","Bati Karadeniz",0,111835,137752,0.231743193096973
"Kayseri","Orta Anadolu",0,409658,528722,0.290642438326604
"Kilis","Guneydogu Anadolu",0.00226757369614512,32279,43941,0.361287524396667
"Kirikkale","Orta Anadolu",0,81710,102479,0.254179415004283
"Kirklareli","Bati Marmara",0,53399,64270,0.203580591396843
"Kirsehir","Orta Anadolu",0,52732,67797,0.285689903663809
"Kocaeli","Dogu Marmara",0,487781,621198,0.273518238717785
"Konya","Bati Anadolu",0,798526,938230,0.17495234970433
"Kutahya","Ege",0,200179,251067,0.254212479830552
"Malatya","Ortadogu Anadolu",0,257512,309173,0.200615893628258
"Manisa","Ege",0,327012,393858,0.204414516898462
"Mardin","Guneydogu Anadolu",0.0294784580498866,72645,107804,0.483983756624682
"Mersin","Akdeniz",0,266760,325723,0.221033888139151
"Mugla","Ege",0,148528,172268,0.159835182591835
"Mus","Ortadogu Anadolu",0.0158730158730159,46940,61768,0.315892628887942
"Nevsehir","Orta Anadolu",0,90819,110867,0.220746760039199
"Nigde","Orta Anadolu",0,91065,110633,0.214879481688904
"Ordu","Dogu Karadeniz",0,221213,276892,0.251698589142591
"Osmaniye","Akdeniz",0.00226757369614512,108756,132713,0.220282099378425
"Rize","Dogu Karadeniz",0,131168,152923,0.165856001463772
"Sakarya","Dogu Marmara",0,324001,399039,0.231598050623301
"Samsun","Bati Karadeniz",0,399684,501843,0.2555994235446
"Sanliurfa","Guneydogu Anadolu",0.0090702947845805,356537,519078,0.455888168689365
"Siirt","Guneydogu Anadolu",0.0204081632653061,40137,51409,0.280838129406782
"Sinop","Bati Karadeniz",0,60087,71770,0.194434736299033
"Sirnak","Guneydogu Anadolu",0.231292517006803,19357,23822,0.230665908973498
"Sivas","Orta Anadolu",0,212853,256886,0.206870469291013
"Tekirdag","Bati Marmara",0,177458,217582,0.226104204938633
"Tokat","Bati Karadeniz",0,180538,212144,0.175065637151181
"Trabzon","Bati Karadeniz",0,253418,315194,0.243771160691032
"Tunceli","Ortadogu Anadolu",0.018140589569161,5631,5837,0.0365832001420707
"Usak","Ege",0,86399,105992,0.226773458026135
"Van","Ortadogu Anadolu",0.0136054421768707,95480,142436,0.491788856304985
"Yalova","Dogu Marmara",0,54366,68818,0.26582790714785
"Yozgat","Orta Anadolu",0,139934,157622,0.126402446867809
"Zonguldak","Bati Karadeniz",0,142329,185261,0.301639159974425
